name,link,age,value
Maxi Rodríguez,https://www.transfermarkt.co.uk/maxi-rodriguez/profil/spieler/7895,28,£22.50m  
Ángel Di María,https://www.transfermarkt.co.uk/angel-di-maria/profil/spieler/45320,21,£6.75m  
Sergio Agüero,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399,21,£27.00m  
Diego Milito,https://www.transfermarkt.co.uk/diego-milito/profil/spieler/22202,30,£14.40m  
Anele Ngcongca,https://www.transfermarkt.co.uk/anele-ngcongca/profil/spieler/63846,21,£630k  
Kagisho Dikgacoi,https://www.transfermarkt.co.uk/kagisho-dikgacoi/profil/spieler/63285,24,£315k  
Aaron Mokoena,https://www.transfermarkt.co.uk/aaron-mokoena/profil/spieler/4756,28,£1.62m  
Bongani Khumalo,https://www.transfermarkt.co.uk/bongani-khumalo/profil/spieler/82215,22, 
Tsepo Masilela,https://www.transfermarkt.co.uk/tsepo-masilela/profil/spieler/63287,24,£248k  
Siboniso Gaxa,https://www.transfermarkt.co.uk/siboniso-gaxa/profil/spieler/34309,25,£675k  
MacBeth Sibaya,https://www.transfermarkt.co.uk/macbeth-sibaya/profil/spieler/15873,31,£1.44m  
Thanduyise Khuboni,https://www.transfermarkt.co.uk/thanduyise-khuboni/profil/spieler/112726,23, 
Reneilwe Letsholonyane,https://www.transfermarkt.co.uk/reneilwe-letsholonyane/profil/spieler/109903,27, 
Steven Pienaar,https://www.transfermarkt.co.uk/steven-pienaar/profil/spieler/4321,27,£7.20m  
Siphiwe Tshabalala,https://www.transfermarkt.co.uk/siphiwe-tshabalala/profil/spieler/37735,24,£585k  
Katlego Mphela,https://www.transfermarkt.co.uk/katlego-mphela/profil/spieler/18917,24,£450k  
Karim Ziani,https://www.transfermarkt.co.uk/karim-ziani/profil/spieler/25976,26,£5.85m  
Ryad Boudebouz,https://www.transfermarkt.co.uk/ryad-boudebouz/profil/spieler/77826,19,£1.26m  
Rafik Halliche,https://www.transfermarkt.co.uk/rafik-halliche/profil/spieler/67815,22,£810k  
Nadir Belhadj,https://www.transfermarkt.co.uk/nadir-belhadj/profil/spieler/23892,27,£4.77m  
Hassan Yebda,https://www.transfermarkt.co.uk/hassan-yebda/profil/spieler/12351,25,£4.50m  
Foued Kadir,https://www.transfermarkt.co.uk/foued-kadir/profil/spieler/57403,25,£630k  
Karim Matmour,https://www.transfermarkt.co.uk/karim-matmour/profil/spieler/19385,24,£1.80m  
Carlos Salcido,https://www.transfermarkt.co.uk/carlos-salcido/profil/spieler/31434,29,£4.50m  
Maza,https://www.transfermarkt.co.uk/maza/profil/spieler/28163,27,£1.80m  
Efraín Juárez,https://www.transfermarkt.co.uk/efrain-juarez/profil/spieler/66130,21,£1.62m  
Gerardo Torrado,https://www.transfermarkt.co.uk/gerardo-torrado/profil/spieler/7713,30,£2.25m  
Andrés Guardado,https://www.transfermarkt.co.uk/andres-guardado/profil/spieler/20506,22,£9.00m  
Adolfo Bautista,https://www.transfermarkt.co.uk/adolfo-bautista/profil/spieler/29572,30,£2.25m  
Rafael Márquez,https://www.transfermarkt.co.uk/rafael-marquez/profil/spieler/2904,30,£10.80m  
Héctor Moreno,https://www.transfermarkt.co.uk/hector-moreno/profil/spieler/51046,21,£3.15m  
Ricardo Osorio,https://www.transfermarkt.co.uk/ricardo-osorio/profil/spieler/31352,29,£2.70m  
Carlos Vela,https://www.transfermarkt.co.uk/carlos-vela/profil/spieler/35773,20,£5.40m  
Cuauhtémoc Blanco,https://www.transfermarkt.co.uk/cuauhtemoc-blanco/profil/spieler/28066,36,£1.80m  
Guillermo Franco,https://www.transfermarkt.co.uk/guillermo-franco/profil/spieler/37558,32,£3.60m  
John Mensah,https://www.transfermarkt.co.uk/john-mensah/profil/spieler/5917,26,£5.40m  
Isaac Vorsah,https://www.transfermarkt.co.uk/isaac-vorsah/profil/spieler/52151,21,£1.80m  
Jonathan Mensah,https://www.transfermarkt.co.uk/jonathan-mensah/profil/spieler/110622,18, 
Hans Sarpei,https://www.transfermarkt.co.uk/hans-sarpei/profil/spieler/707,33,£900k  
Anthony Annan,https://www.transfermarkt.co.uk/anthony-annan/profil/spieler/29122,22,£1.26m  
André Ayew,https://www.transfermarkt.co.uk/andre-ayew/profil/spieler/45403,19,£1.08m  
Asamoah Gyan,https://www.transfermarkt.co.uk/asamoah-gyan/profil/spieler/26802,23,£3.42m  
Lee Addy,https://www.transfermarkt.co.uk/lee-addy/profil/spieler/133553,18, 
Kwadwo Asamoah,https://www.transfermarkt.co.uk/kwadwo-asamoah/profil/spieler/63531,20,£900k  
Kevin-Prince Boateng,https://www.transfermarkt.co.uk/kevin-prince-boateng/profil/spieler/16922,22,£2.70m  
Carlos Bocanegra,https://www.transfermarkt.co.uk/carlos-bocanegra/profil/spieler/15829,30,£3.15m  
Maurice Edu,https://www.transfermarkt.co.uk/maurice-edu/profil/spieler/50987,23,£1.80m  
Michael Bradley,https://www.transfermarkt.co.uk/michael-bradley/profil/spieler/30593,21,£3.60m  
Ricardo Clark,https://www.transfermarkt.co.uk/ricardo-clark/profil/spieler/39840,26, 
Clint Dempsey,https://www.transfermarkt.co.uk/clint-dempsey/profil/spieler/27577,26,£4.95m  
Jozy Altidore,https://www.transfermarkt.co.uk/jozy-altidore/profil/spieler/39378,19,£2.70m  
Oguchi Onyewu,https://www.transfermarkt.co.uk/oguchi-onyewu/profil/spieler/12517,27,£4.05m  
Jay DeMerit,https://www.transfermarkt.co.uk/jay-demerit/profil/spieler/15926,29,£900k  
Jonathan Bornstein,https://www.transfermarkt.co.uk/jonathan-bornstein/profil/spieler/39454,24, 
Landon Donovan,https://www.transfermarkt.co.uk/landon-donovan/profil/spieler/68,27,£2.70m  
Robbie Findley,https://www.transfermarkt.co.uk/robbie-findley/profil/spieler/27167,23, 
Fernando Muslera,https://www.transfermarkt.co.uk/fernando-muslera/profil/spieler/58088,23,£720k  
Diego Godín,https://www.transfermarkt.co.uk/diego-godin/profil/spieler/54928,23,£7.20m  
Mauricio Victorino,https://www.transfermarkt.co.uk/mauricio-victorino/profil/spieler/44935,26, 
Martín Cáceres,https://www.transfermarkt.co.uk/martin-caceres/profil/spieler/54935,22,£7.20m  
Maxi Pereira,https://www.transfermarkt.co.uk/maxi-pereira/profil/spieler/57834,25,£4.32m  
Diego Pérez,https://www.transfermarkt.co.uk/diego-perez/profil/spieler/20378,29,£2.25m  
Ignacio González,https://www.transfermarkt.co.uk/ignacio-gonzalez/profil/spieler/67648,27,£630k  
