Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_avg_wins,team1_avg_draws,team1_avg_gd,team2_avg_wins,team2_avg_draws,team2_avg_gd,team1_lineup,team2_lineup,year
19980618,France,4,Saudi Arabia,0,0,0,2,2,2,1,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Fabien Barthez_-- Bixente Lizarazu  
  _-- Laurent Blanc  _-- Lilian Thuram_-- Marcel Desailly_-- Zinedine Zidane  _-- Christophe Dugarry_-- Didier Deschamps_-- Bernard Diomede_-- Thierry Henry  
 _-- Alain Boghossian",-- Mohammed Al Deayea_-- Mohammed Al Khilaiwi  _-- Hussain Sulimani_-- Abdullah Zubromawi_-- Mohammed Al Jahani  _-- Fuad Amin_-- Sami Al Jaber  _-- Hamzah Saleh_-- Khamis Al Owairan_-- Saeed Owairan_-- Ibrahim Al Shahrani,1998
19980618,South Africa,1,Denmark,1,0,0,4,3,2,2,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Hans Vonk_-- Pierre Issa  _-- Mark Fish_-- David Nyathi  
 _-- Lucas Redebe  _-- Brendan Augustine_-- Quinton Fortune_-- John Moshoeu_-- Helman Mkhalele_-- Benedict McCarthy  _-- Shaun Bartlett",-- Peter Schemeichel  _-- Marc Rieper_-- Soren Colding_-- Jes Hogh  _-- Michael Schojonberg  _-- Allan Nielsen  _-- Ebbe Sand_-- Martin Jorgensen_-- Michael Laudrup_-- Brian Laudrup_-- Thomas Helveg,1998
19980619,Nigeria,1,Bulgaria,0,0,0,4,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Peter Rufai_-- Garba Lawal_-- Celestine Babayaro_-- Uche Okechukwu  _-- Taribo West_-- Daniel Amokachi_-- Mutiu Adepoju  _-- Sunday Oliseh_-- Augustine Okocha  _-- George Finidi_-- Víctor Ikpeba  
 ",-- Marian Hristov_-- Emil Kostadinov_-- Trifon Ivanov_-- Zdravko Zdravkov_-- Ivaylo Petkov_-- Krassimir Balakov_-- Ilian Iliev  _-- Radostin Kischischev  _-- Hristo Stoitchkov_-- Zlatko Yankov_-- Gocho Guintchev,1998
19980619,Spain,0,Paraguay,0,0,0,2,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Andoni Zubizarreta_-- Fernando Hierro_-- Fernández Abelardo_-- Barjuan Sergi  _-- Carlos Aguilera_-- Luis Enrique_-- Guillermo Amor_-- Joseba Etxeberría_-- Rafael Alkorta_-- Raúl_-- José Antonio Pizzi,-- José Chilavert_-- Carlos Alberto Gamarra_-- Denis Ramón Caniza_-- Ricardo Ismael Rojas_-- Pedro Sarabia_-- Celso Rafael Ayala  _-- Francisco Arce  _10 Roberto Acuña_-- Julio Cesar Enciso_-- Jorge Campos_-- Miguel Benítez,1998
19980620,Belgium,2,Mexico,2,0,0,1,2,1,2,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Filip De Wilde_-- Franky Van Der Elst_-- Vital Borkelmans_-- Eric Deflandre_-- Gordan Vidovic  _-- Enzo Scifo_-- Marc Wilmots  
 _-- Lorenzo Staelens_-- Danny Boffin_-- Luc Nilis_-- Luis Oliveira","-- Jorge Campos_-- Duilio Davino_-- Claudio Suárez_-- Jesús Ramírez  
 _-- Joel Sánchez_-- Cuauhtemoc Blanco  
 _-- Alberto García Aspe  _-- Jaime Ordiales_-- Pavel Pardo  _-- Luis Hernández_-- Francisco Palencia",1998
19980620,Japan,0,Croatia,1,0,0,3,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Seigo Narazaki_-- Masami Ihara_-- Yoshikatsu Kawaguchi_-- Eisuke Nakanishi  _-- Naoki Soma_-- Yukata Akita  _-- Hidetoshi Nakata_-- Hiroshi Nanami  _-- Motohiro Yamaguchi_-- Hidetoshi Nakayama_-- Shoji Jo,-- Drazen Ladic_-- Robert Jarni_-- Aljosa Asanovic_-- Slaven Bilic_-- Dario Simic_-- Igor Stimac_-- Robert Prosinecki  _-- Mario Stanic  _-- Krunoslav Jurcic_-- Davor Suker  _-- Zvonimir Soldo,1998
19980620,Netherlands,5,South Korea,0,0,0,0,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Edwin van der Sar_-- Aron Winter_-- Frank De Boer  _-- Arthur Numan_-- Jaap Stam_-- Wim Jonk_-- Philip Cocu  _-- Edgar Davids_-- Dennis Bergkamp  _-- Marc Overmars  _-- Ronald De Boer,-- Kim Byung-Ji_-- Hong Myung-Bo_-- Lee Min-Sung_-- Sang Lee_-- Jung Seo_-- Yoo Sang-Chul_-- Young Choi  _-- Do Kim_-- Jong Ko  _-- Choi Sung-Yong_-- Choi Yong-Soo,1998
19980621,Argentina,5,Jamaica,0,0,0,1,2,0,1,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Carlos Angel Roa_4 Javier Zanetti_2 Roberto Ayala_-- Roberto Sensini_-- José Chamot  _10 Ariel Ortega  
 _14 Diego Pablo Simeone_-- Juan Sebastián Verón_-- Matias Jesús Almeyda_-- Gabriel Batistuta  
  _-- Claudio Javier López","-- Warren Barrett_-- Ricardo Gardener_-- Ian Goodison_-- Frank Sinclair_-- Stephen Malcolm_-- Theodore Whitmore_-- Fitzroy Simpson_-- Christopher Dawes_-- Darryl Powell  
 _-- Deon Burton_-- Paul Hall",1998
19980621,Germany,2,Yugoslavia,2,0,0,1,0,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Andreas Köpke_-- Juergen Kohler_-- Christian Woms_-- Christian Ziege_-- Andreas Moeller_-- Jorg Heinrich_-- Jens Jeremies_-- Olaf Thon_-- Dietman Hamann_-- Jürgen Klinsmann_-- Oliver Bierhoff  ,-- Ivica Kralj_-- Sinisa Mihajlovic   OG_-- Predrag Mijatovic  _-- Slobodan Komljenovic_-- Goran Djorovic_-- Dragan Stojkovic  _-- Slavisa Jokanovic_-- Vladimir Jugovic_-- Zeljko Petrovic_-- Darko Kovacevic_-- Dejan Stankovic,1998
19980621,United States,1,Iran,2,0,0,1,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Kasey Keller_-- Thomas Dooley_-- Eddie Pope_-- Davis Regis  _-- Frankie Hejduk_-- Tab Ramos_-- Claudio Reyna_-- Roy Wegerle_-- Brian McBride  _-- Cobi Jones_-- Joe-Max Moore,-- Ahmad Abedzadeh_-- Mehdi Mahdavikia  _-- Mohammad Khakpour_-- Mehdi Peshazadeh_-- Javad Zarinchech  _-- Hamid Estilli  _-- Karim Bagheri_-- Ali Daei_-- Nader Mohammadkhani_-- Khodadad Aziz_-- Mehrdad Minavand  ,1998
