Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_lineup,team2_lineup
20140619,Japan,0,Greece,0,23,18,1,3,0,1,1,3,5,7,5,4,68%,32%,16 (11),9 (5),1 Eiji Kawashima_15 Yasuyuki Konno_22 Maya Yoshida_5 Yuto Nagatomo_2 Atsuto Uchida_4 Keisuke Honda_16 Hotaru Yamaguchi_17 Makoto Hasebe  _18 Yuya Osako_9 Shinji Okazaki_13 Yoshito Okubo,"1 Orestis Karnezis_19 Sokratis Papastathopoulos_4 Kostas Manolas_20 José Holebas_15 Vasilis Torosidis  _21 Kostas Katsouranis  
 _8 Panagiotis Kone_2 Giannis Maniatis_9 Kostas Mitroglou_7 Giorgos Samaras  _18 Ioannis Fetfatzidis"
20140620,Italy,0,Costa Rica,1,10,24,1,1,0,0,11,3,4,5,4,4,58%,42%,10 (6),10 (6),1 Gianluigi Buffon_3 Giorgio Chiellini_15 Andrea Barzagli_16 Daniele De Rossi_4 Matteo Darmian_7 Ignazio Abate_21 Andrea Pirlo_5 Thiago Motta_8 Claudio Marchisio_6 Antonio Candreva_9 Mario Balotelli  ,1 Keylor Navas_3 Giancarlo González_4 Michael Umaña_6 Óscar Duarte_15 Júnior Díaz_16 Cristian Gamboa_17 Yeltsin Tejeda_5 Celso Borges_7 Christian Bolaños_10 Bryan Ruiz  _9 Joel Campbell
20140620,Switzerland,2,France,5,12,16,0,1,0,0,1,2,5,3,3,8,57%,43%,17 (8),22 (16),1 Diego Benaglio_5 Steve von Bergen_20 Johan Djourou_13 Ricardo Rodríguez_2 Stephan Lichtsteiner_10 Granit Xhaka  _8 Gökhan Inler_11 Valon Behrami_9 Haris Seferovic_18 Admir Mehmedi_23 Xherdan Shaqiri,1 Hugo Lloris_5 Mamadou Sakho_4 Raphaël Varane_3 Patrice Evra_2 Mathieu Debuchy_6 Yohan Cabaye  _14 Blaise Matuidi  _18 Moussa Sissoko  _9 Olivier Giroud  _10 Karim Benzema  _8 Mathieu Valbuena  
20140620,Honduras,1,Ecuador,2,15,17,2,3,0,0,1,1,4,12,4,2,49%,51%,16 (9),8 (5),18 Noel Valladares_3 Maynor Figueroa_5 Víctor Bernárdez  _7 Emilio Izaguirre_21 Brayan Beckeles_20 Jorge Claros_19 Luis Garrido_15 Roger Espinoza_14 Boniek García_13 Carlo Costly  _11 Jerry Bengtson  ,"22 Alexander Domínguez_3 Frickson Erazo_2 Jorge Guagua_10 Walter Ayoví_4 Juan Carlos Paredes_6 Christian Noboa_14 Oswaldo Minda_7 Jefferson Montero  _16 Antonio Valencia  _13 Enner Valencia  
  _11 Felipe Caicedo"
20140621,Argentina,1,Iran,0,8,14,0,2,0,0,0,1,10,6,4,3,70%,30%,19 (9),8 (4),1 Sergio Romero_2 Ezequiel Garay_17 Federico Fernández_14 Javier Mascherano_16 Marcos Rojo_4 Pablo Zabaleta_10 Lionel Messi  _7 Ángel Di María_5 Fernando Gago_20 Sergio Agüero_9 Gonzalo Higuaín,12 Alireza Haghighi_5 Amirhossein Sadeghi_4 Seyed Jalal Hosseini_23 Mehrdad Pooladi_15 Pejman Montazeri_3 Ehsan Hajsafi_6 Javad Nekounam  _14 Andranik Teymourian_16 Reza Ghoochannejhad_21 Ashkan Dejagah_7 Masoud Shojaei  
20140621,Germany,2,Ghana,2,11,17,0,1,0,0,1,5,7,3,2,4,59%,41%,11 (6),20 (10),1 Manuel Neuer_5 Mats Hummels_17 Per Mertesacker_4 Benedikt Höwedes_20 Jérôme Boateng_16 Philipp Lahm_18 Toni Kroos_6 Sami Khedira_13 Thomas Müller_19 Mario Götze  _8 Mesut Özil,16 Fatawu Dauda_19 Jonathan Mensah_21 John Boye_20 Kwadwo Asamoah_23 Harrison Afful_9 Kevin-Prince Boateng_11 Sulley Muntari  _17 Mohammed Rabiu_3 Asamoah Gyan  _10 André Ayew  _7 Christian Atsu
20140621,Nigeria,1,Bosnia and Herzegovina,0,9,7,1,1,0,0,3,2,4,4,9,7,46%,54%,20 (13),18 (10),1 Vincent Enyeama_22 Kenneth Omeruo_2 Joseph Yobo_13 Juwon Oshaniwa_5 Efe Ambrose_18 Michael Babatunde_10 John Obi Mikel  _17 Ogenyi Onazi_9 Emmanuel Emenike_7 Ahmed Musa_8 Peter Odemwingie  ,1 Asmir Begovic_4 Emir Spahic_15 Toni Sunjic_16 Senad Lulic_13 Mensur Mujdza_8 Miralem Pjanic_7 Muhamed Besic_18 Haris Medunjanin  _11 Edin Dzeko_10 Zvjezdan Misimovic_20 Izet Hajrovic
20140622,Belgium,1,Russia,0,13,9,2,1,0,0,7,0,5,8,1,3,53%,47%,11 (6),13 (6),1 Thibaut Courtois_4 Vincent Kompany_15 Daniel van Buyten_3 Thomas Vermaelen_2 Toby Alderweireld  _7 Kevin De Bruyne_8 Marouane Fellaini_6 Axel Witsel  _9 Romelu Lukaku_10 Eden Hazard_14 Dries Mertens,1 Igor Akinfeev_4 Sergey Ignashevich_14 Vasili Berezutski_23 Dmitri Kombarov_2 Alexey Kozlov_17 Oleg Shatov_20 Viktor Faizulin_8 Denis Glushakov  _9 Aleksandr Kokorin_6 Maksim Kanunnikov_19 Alexander Samedov
20140622,South Korea,2,Algeria,4,13,16,2,1,0,0,1,1,7,5,1,2,54%,46%,9 (6),15 (8),1 Jung Sung-Ryong_5 Kim Young-Gwon_20 Hong Jeong-Ho_3 Yun Suk-Young_12 Lee Yong  _13 Koo Ja-Cheol  _16 Ki Sung-Yueng_14 Han Kook-Young  _10 Park Chu-Young_9 Son Heung-Min  _17 Lee Chung-Yong,23 Rais M'Bolhi_5 Rafik Halliche  _2 Madjid Bouguerra  _6 Djamel Mesbah_20 Aïssa Mandi_11 Yacine Brahimi  _14 Nabil Bentaleb_12 Carl Medjani_13 Islam Slimani  _18 Abdelmouméne Djabou  _10 Sofiane Feghouli
20140622,United States,2,Portugal,2,11,14,1,0,0,0,1,4,6,4,2,4,48%,52%,15 (10),20 (9),"1 Tim Howard_5 Matt Besler_20 Geoff Cameron_7 DaMarcus Beasley_23 Fabian Johnson_4 Michael Bradley_15 Kyle Beckerman_13 Jermaine Jones  
 _8 Clint Dempsey  _19 Graham Zusi_11 Alejandro Bedoya",22 Beto_2 Bruno Alves_13 Ricardo Costa_19 André Almeida_21 João Pereira_4 Miguel Veloso_16 Raul Meireles_8 João Moutinho_23 Hélder Postiga_7 Cristiano Ronaldo_17 Nani  
