,name,link,age,value
99,Ladislav Jurkemik,https://www.transfermarkt.co.uk/ladislav-jurkemik/profil/spieler/132969,27, 
100,Rostislav Vojacek,https://www.transfermarkt.co.uk/rostislav-vojacek/profil/spieler/132983,32, 
101,Zdenek Valek,https://www.transfermarkt.co.uk/zdenek-valek/profil/spieler/242026,23, 
102,Jan Berger,https://www.transfermarkt.co.uk/jan-berger/profil/spieler/132988,25, 
103,Jan Kozak,https://www.transfermarkt.co.uk/jan-kozak/profil/spieler/132984,27, 
104,Premysl Bicovsky,https://www.transfermarkt.co.uk/premysl-bicovsky/profil/spieler/132987,30, 
105,Vlastimil Petrzela,https://www.transfermarkt.co.uk/vlastimil-petrzela/profil/spieler/133003,27, 
106,Zdenek Nehoda,https://www.transfermarkt.co.uk/zdenek-nehoda/profil/spieler/130072,29, 
107,Tomas Kriz,https://www.transfermarkt.co.uk/tomas-kriz/profil/spieler/132986,22, 
108,Petr Janecka,https://www.transfermarkt.co.uk/petr-janecka/profil/spieler/133001,23, 
109,Zdenek Hruska,https://www.transfermarkt.co.uk/zdenek-hruska/profil/spieler/133004,26, 
110,Jozef Kukucka,https://www.transfermarkt.co.uk/jozef-kukucka/profil/spieler/132990,24, 
111,Jan Fiala,https://www.transfermarkt.co.uk/jan-fiala/profil/spieler/132966,25, 
112,Jozef Barmos,https://www.transfermarkt.co.uk/jozef-barmos/profil/spieler/132982,26, 
113,Frantisek Jakubec,https://www.transfermarkt.co.uk/frantisek-jakubec/profil/spieler/132965,25, 
114,Karel Jarolim,https://www.transfermarkt.co.uk/karel-jarolim/profil/spieler/246167,24, 
115,Frantisek Stambachr,https://www.transfermarkt.co.uk/frantisek-stambachr/profil/spieler/132991,28, 
116,Antonin Panenka,https://www.transfermarkt.co.uk/antonin-panenka/profil/spieler/60800,32, 
117,Pavel Chaloupka,https://www.transfermarkt.co.uk/pavel-chaloupka/profil/spieler/106983,22, 
118,Ladislav Vizek,https://www.transfermarkt.co.uk/ladislav-vizek/profil/spieler/132985,26, 
119,Marian Masny,https://www.transfermarkt.co.uk/marian-masny/profil/spieler/133002,30, 
120,Vaclav Danek,https://www.transfermarkt.co.uk/vaclav-danek/profil/spieler/126928,20, 
121,Rinat Dasaev,https://www.transfermarkt.co.uk/rinat-dasaev/profil/spieler/117377,24, 
122,Vyacheslav Chanov,https://www.transfermarkt.co.uk/vyacheslav-chanov/profil/spieler/131542,29, 
